backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cpu,128,128,1000,8,256,0,0,174.398046,174.577719,93.94600671,93.84931877
cpu,128,128,1000,8,256,0,0,174.292127,174.506019,94.0030986,93.88787902
cpu,128,128,1000,8,256,0,0,173.273073,173.501611,94.55594984,94.43139983
cpu,128,128,1000,10,256,0,0,137.94957,138.116638,118.7680397,118.624376
cpu,128,128,1000,10,256,0,0,143.462175,143.637558,114.204319,114.0648743
cpu,128,128,1000,10,256,0,0,139.717829,139.910804,117.2649197,117.1031795
cpu,128,128,1000,10,256,0,0,141.594852,141.778322,115.7104214,115.5606849
cpu,128,128,1000,10,256,0,0,136.938938,137.138009,119.6445674,119.4708901
cpu,128,128,1000,12,256,0,0,114.599206,114.77182,142.9678317,142.7528116
cpu,128,128,1000,12,256,0,0,114.610333,114.795138,142.9539516,142.7238147
cpu,128,128,1000,12,256,0,0,115.635368,115.81619,141.6867545,141.4655412
cpu,128,128,1000,12,256,0,0,118.362437,118.56693,138.4222936,138.1835559
cpu,128,128,1000,12,256,0,0,113.957447,114.142892,143.7729647,143.5393804
cuda,128,128,1000,1,128,0,0,5.238687989,11.413003,3127.500632,1435.555568
cuda,128,128,1000,1,128,0,0,4.597088003,10.592628,3563.995292,1546.736089
cuda,128,128,1000,1,128,0,0,4.754527962,11.600124,3445.978261,1412.398695
cuda,128,128,1000,1,128,0,0,4.104416049,10.07975,3991.798054,1625.437139
cuda,128,128,1000,1,128,0,0,4.069824052,9.894167,4025.726859,1655.925153
opencl,128,128,1000,1,128,1,0,4.551136,14.992876,3599.980313,1092.785667
opencl,128,128,1000,1,128,1,0,4.529184,14.912583,3617.428658,1098.669493
opencl,128,128,1000,1,128,1,0,4.526496,14.948185,3619.576821,1096.052798
opencl,128,128,1000,1,128,1,0,4.518272,14.902209,3626.165047,1099.434319
opencl,128,128,1000,1,128,1,0,4.596032,15.262882,3564.81417,1073.453886
cpu,256,256,500,1,256,0,0,1169.240555,1169.306866,28.0250286,28.02343932
cpu,256,256,500,1,256,0,0,1134.366,1134.427065,28.88662037,28.88506543
cpu,256,256,500,1,256,0,0,1126.954003,1127.045138,29.0766082,29.07425701
cpu,256,256,500,1,256,0,0,1138.357292,1138.414159,28.78533851,28.78390061
cpu,256,256,500,1,256,0,0,1133.299661,1133.359014,28.91380023,28.91228604
cpu,256,256,500,2,256,0,0,591.662481,591.730343,55.38292701,55.37657548
cpu,256,256,500,2,256,0,0,584.869583,584.941008,56.02616541,56.01932426
cpu,256,256,500,2,256,0,0,586.080921,586.150423,55.91036805,55.90373855
cpu,256,256,500,2,256,0,0,582.559185,582.642951,56.24836213,56.24027536
cpu,256,256,500,2,256,0,0,592.175376,592.236596,55.33495874,55.32923872
cpu,256,256,500,4,256,0,0,315.019969,315.085516,104.0188027,103.9971637
cpu,256,256,500,4,256,0,0,312.421977,312.515573,104.8837867,104.8523748
cpu,256,256,500,4,256,0,0,309.113979,309.204559,106.0062056,105.9751516
cpu,256,256,500,4,256,0,0,314.00228,314.068607,104.3559302,104.3338916
cpu,256,256,500,4,256,0,0,307.199163,307.271006,106.6669573,106.6420175
