igpu_frac,backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
0.05,hybrid,16384,16384,150,1,256,0,0,1282.124524,1282.337767,31405.15422,31399.93178
0.05,hybrid,16384,16384,150,1,256,0,0,1263.942002,1264.151191,31856.93516,31851.66354
0.05,hybrid,16384,16384,150,1,256,0,0,1278.415608,1278.626326,31496.26628,31491.07568
0.06,hybrid,16384,16384,150,1,256,0,0,1290.475848,1290.70757,31201.91553,31196.31382
0.06,hybrid,16384,16384,150,1,256,0,0,1255.414034,1255.62308,32073.33781,32067.99799
0.06,hybrid,16384,16384,150,1,256,0,0,1256.200316,1256.403657,32053.26244,32048.07482
0.06,hybrid,16384,16384,150,1,256,0,0,1259.808363,1259.994246,31961.46301,31956.74784
0.06,hybrid,16384,16384,150,1,256,0,0,1269.200519,1269.458644,31724.94637,31718.49559
0.07,hybrid,16384,16384,150,1,256,0,0,1340.246091,1340.474817,30043.22764,30038.10134
0.07,hybrid,16384,16384,150,1,256,0,0,1329.681914,1329.876059,30281.91779,30277.49701
0.07,hybrid,16384,16384,150,1,256,0,0,1362.735396,1362.942415,29547.42243,29542.93443
0.07,hybrid,16384,16384,150,1,256,0,0,1330.745754,1330.965191,30257.70947,30252.72086
0.07,hybrid,16384,16384,150,1,256,0,0,1337.172386,1337.376963,30112.28681,30107.68057
0.08,hybrid,16384,16384,150,1,256,0,0,1510.906604,1511.122836,26649.77325,26645.95984
0.08,hybrid,16384,16384,150,1,256,0,0,1534.895614,1535.205714,26233.26175,26227.96283
0.08,hybrid,16384,16384,150,1,256,0,0,1493.953818,1494.166869,26952.18414,26948.34107
0.08,hybrid,16384,16384,150,1,256,0,0,1498.520642,1498.730485,26870.04588,26866.2837
0.08,hybrid,16384,16384,150,1,256,0,0,1494.322953,1494.521375,26945.52628,26941.94882
0.10,hybrid,16384,16384,150,1,256,0,0,1846.520843,1846.759824,21806.04598,21803.22415
0.10,hybrid,16384,16384,150,1,256,0,0,1863.391038,1863.641188,21608.62512,21605.72467
0.10,hybrid,16384,16384,150,1,256,0,0,1871.383771,1871.628633,21516.33408,21513.51913
0.10,hybrid,16384,16384,150,1,256,0,0,1882.484833,1882.696337,21389.45169,21387.04878
0.10,hybrid,16384,16384,150,1,256,0,0,1865.872656,1866.170837,21579.88557,21576.43748
0,hybrid,24576,24576,100,1,256,0,0,1927.778905,1927.827408,31330.3447,31329.55645
0,hybrid,24576,24576,100,1,256,0,0,1946.929244,1946.959098,31022.17391,31021.69823
0,hybrid,24576,24576,100,1,256,0,0,1912.594131,1912.623561,31579.0876,31578.60168
0,hybrid,24576,24576,100,1,256,0,0,1927.817234,1927.849163,31329.72179,31329.20291
0,hybrid,24576,24576,100,1,256,0,0,1945.010938,1945.045074,31052.77015,31052.22517
0.03,hybrid,24576,24576,100,1,256,0,0,1908.787449,1908.946054,31642.06556,31639.43657
0.03,hybrid,24576,24576,100,1,256,0,0,1880.536898,1880.678418,32117.41161,32114.99479
0.03,hybrid,24576,24576,100,1,256,0,0,1881.976281,1882.144744,32092.8474,32089.9749
0.03,hybrid,24576,24576,100,1,256,0,0,1877.659888,1877.803905,32166.62293,32164.15593
0.03,hybrid,24576,24576,100,1,256,0,0,1902.088234,1902.246549,31753.50992,31750.86722
0.04,hybrid,24576,24576,100,1,256,0,0,1864.047037,1864.193807,32401.53086,32398.97986
0.04,hybrid,24576,24576,100,1,256,0,0,1891.012981,1891.159514,31939.48334,31937.00857
0.04,hybrid,24576,24576,100,1,256,0,0,1893.501227,1893.640245,31897.51173,31895.17004
0.04,hybrid,24576,24576,100,1,256,0,0,1864.575174,1864.724088,32392.3532,32389.76639
0.04,hybrid,24576,24576,100,1,256,0,0,1892.677711,1892.831054,31911.39054,31908.80532
0.05,hybrid,24576,24576,100,1,256,0,0,1845.285818,1845.436736,32730.96071,32728.284
0.05,hybrid,24576,24576,100,1,256,0,0,1867.162077,1867.291381,32347.47446,32345.2345
0.05,hybrid,24576,24576,100,1,256,0,0,1870.377808,1870.528132,32291.85961,32289.2645
0.05,hybrid,24576,24576,100,1,256,0,0,1846.445843,1846.586718,32710.39756,32707.9021
0.05,hybrid,24576,24576,100,1,256,0,0,1871.588717,1871.740462,32270.96693,32268.35067
0.06,hybrid,24576,24576,100,1,256,0,0,1876.625055,1876.758018,32184.36066,32182.08049
0.06,hybrid,24576,24576,100,1,256,0,0,1850.060967,1850.193793,32646.47959,32644.13589
0.06,hybrid,24576,24576,100,1,256,0,0,1867.740265,1867.874255,32337.4608,32335.1411
0.06,hybrid,24576,24576,100,1,256,0,0,1853.525272,1853.689066,32585.46215,32582.58287
0.06,hybrid,24576,24576,100,1,256,0,0,1877.916464,1878.063325,32162.22806,32159.71304
0.07,hybrid,24576,24576,100,1,256,0,0,1985.574021,1985.707995,30418.39637,30416.34407
0.07,hybrid,24576,24576,100,1,256,0,0,1977.228527,1977.371954,30546.78646,30544.57078
0.07,hybrid,24576,24576,100,1,256,0,0,1998.414412,1998.554527,30222.94937,30220.8305
0.07,hybrid,24576,24576,100,1,256,0,0,2009.347402,2009.482401,30058.50434,30056.48498
0.07,hybrid,24576,24576,100,1,256,0,0,2001.832898,2001.979849,30171.33831,30169.12365
0.08,hybrid,24576,24576,100,1,256,0,0,2270.027626,2270.190902,26606.71479,26604.80119
