backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cuda,4096,4096,100,1,64,0,0,73.07555187,77.5227,22958.72637,21641.68173
cuda,4096,4096,100,1,64,1,0,158.071968,164.3326,10613.65669,10209.30479
cuda,4096,4096,100,1,128,0,0,79.59718418,91.0172,21077.65014,18433.01706
cuda,4096,4096,100,1,128,1,0,172.4974083,185.8245,9726.068448,9028.527455
cuda,4096,4096,100,1,256,0,0,81.33327985,83.3717,20627.73816,20123.39439
cuda,4096,4096,100,1,256,1,0,141.5409924,148.6112,11853.25588,11289.33485
opencl,4096,4096,100,1,32,0,0,1695.763834,1975.5549,989.3604088,849.2406868
opencl,4096,4096,100,1,32,1,0,2285.610479,2419.0028,734.0365366,693.5591807
opencl,4096,4096,100,1,64,0,0,1714.746093,2238.7625,978.4081777,749.3968655
opencl,4096,4096,100,1,64,1,0,1717.152833,2070.837,977.036853,810.1659377
opencl,4096,4096,100,1,128,0,0,1705.579706,1893.2376,983.6664883,886.1653709
opencl,4096,4096,100,1,128,1,0,1446.081585,1548.1026,1160.18461,1083.727655
opencl,4096,4096,100,1,256,0,0,1726.360542,1923.1298,971.8257335,872.3912447
opencl,4096,4096,100,1,256,1,0,1484.38743,1541.9839,1130.245087,1088.027962
