device,cells,t_step_s
igpu,262144,0.00016246237
igpu,1048576,0.00050339892
igpu,4194304,0.00200268239
igpu,16777216,0.00820024123
igpu,67108864,0.0328559062
igpu,268435456,0.125565217
igpu,1073741824,0.507197042
dgpu,262144,1.706665e-05
dgpu,1048576,4.192289e-05
dgpu,4194304,0.00013364377
dgpu,16777216,0.000651678625
dgpu,67108864,0.00266927543
dgpu,268435456,0.0095489366
dgpu,1073741824,0.0341223181
